Ex_mean Ex_std Ey_mean Ey_std lossx_mean lossx_std lossy_mean lossy_std
0.55029135 0.00998050 0.54588380 0.01209409 0.07864260 0.00078512 0.07974058 0.00074304
0.55164962 0.00979984 0.54024879 0.00648608 0.07753040 0.00099513 0.08375991 0.00079889
0.55655211 0.00450323 0.53835840 0.00695258 0.08132711 0.00099736 0.08129013 0.00093543
0.54552610 0.00745154 0.53936088 0.00875616 0.07938396 0.00100963 0.07952567 0.00109342
0.54973052 0.00807619 0.54828974 0.01001728 0.08002970 0.00081902 0.07987344 0.00098828
0.54788073 0.00499790 0.54114218 0.00555736 0.07775724 0.00085444 0.08097087 0.00078697
0.56216899 0.00859155 0.54115808 0.00725075 0.07938395 0.00075880 0.08344298 0.00103389
0.55419644 0.00898778 0.54181804 0.01221627 0.07850011 0.00095448 0.08242344 0.00099602
0.54392947 0.00819296 0.54887598 0.00531080 0.08274686 0.00119461 0.08107448 0.00127793
0.56504260 0.01103195 0.53885094 0.00894893 0.08204519 0.00118953 0.08406715 0.00094444
0.55286298 0.00730822 0.54281371 0.00679554 0.07932649 0.00110521 0.07928922 0.00083168
0.55573485 0.00627882 0.54027596 0.00665813 0.07730489 0.00098548 0.08085017 0.00085662
0.56919787 0.00535341 0.54082060 0.00864064 0.08069597 0.00087985 0.07783832 0.00125870
0.56959740 0.00698502 0.53942091 0.00848503 0.08122825 0.00089173 0.08135654 0.00123810
0.55634120 0.00771605 0.54194860 0.00916875 0.07868754 0.00092857 0.08054482 0.00077639
0.55806098 0.00735632 0.53765938 0.00514724 0.07966607 0.00073603 0.08130814 0.00117849
0.56355024 0.00634183 0.54381488 0.01034291 0.08000774 0.00096159 0.08220420 0.00063998
0.55556872 0.00825597 0.53913354 0.00730699 0.07820422 0.00117229 0.08009781 0.00106867
0.54104962 0.00781969 0.53530257 0.00791362 0.07865358 0.00097663 0.08250956 0.00104496
0.54683668 0.00607704 0.54530047 0.00735947 0.07968477 0.00099652 0.07951898 0.00108231
0.55152228 0.00814114 0.54298257 0.00825366 0.08581412 0.00090337 0.07974715 0.00127301
0.55671093 0.01065935 0.54569281 0.01036560 0.07816950 0.00097604 0.08153699 0.00090011
0.57254000 0.00774710 0.54484814 0.00754194 0.08055262 0.00094765 0.08040021 0.00120267
0.53833074 0.00811725 0.53842147 0.00844115 0.08285260 0.00093629 0.08062088 0.00091335
0.54832031 0.00745158 0.54224093 0.00689724 0.07902188 0.00103545 0.08002050 0.00102912
0.55338588 0.00913624 0.54396337 0.00817384 0.07924155 0.00098153 0.08127355 0.00094779
0.56406176 0.00941266 0.53809791 0.00847973 0.08252449 0.00089568 0.08089867 0.00108529
0.54447045 0.01024959 0.54542148 0.00809196 0.08078720 0.00111700 0.08024864 0.00101732
0.56230424 0.00656542 0.54414748 0.00620937 0.08234227 0.00111797 0.08092373 0.00058397
0.55925911 0.00949947 0.53837194 0.00854998 0.07859866 0.00074864 0.08291460 0.00119079
0.55277361 0.00585899 0.53773069 0.00615636 0.08089855 0.00119474 0.08145290 0.00096752
0.55559972 0.00769913 0.54992064 0.00677347 0.08023703 0.00131181 0.08212457 0.00098133
0.55895257 0.01032700 0.55479641 0.00645372 0.07783793 0.00106786 0.07961266 0.00106260
0.55347360 0.00881819 0.54196222 0.00748852 0.08151083 0.00107088 0.07672506 0.00119372
0.54422563 0.00753491 0.54758496 0.00596186 0.07951426 0.00105701 0.07918525 0.00098242
0.56128686 0.00638452 0.54338467 0.00782536 0.07968650 0.00102347 0.08043523 0.00090735
0.55903689 0.01017646 0.54224996 0.00760355 0.07704837 0.00093559 0.08025374 0.00081330
